"Record ID","Repeat Instrument","Repeat Instance","Historic Data","Date Record Entered:","Type of Climb","Date of Climb","Name of Climb:","Grade of Climb (YDS):","Grade of Climb (YDS):","Grade of Climb (Fr):","Grade of Climb (Fr):","Grade of Climb (V Scale):","Grade of Climb (V Scale):","Difficulty Calc","Type of Protection:","Type of Ascent:","Type of Ascent:",Repeat?,"Second Go?",Followed?,"Pink Point?","Notes about the Climb","Climbing Area:","Wall/Boulder Within Area:",Latitude,Longitude,Complete?,"Upload Picture","Picture Notes:",Complete?
146,,,Yes,2018-10-03,Route,2013-03-21,"Beta Spewer",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Practice Wall",,,Complete,,,
147,,,Yes,2018-10-03,Route,2013-03-21,"Low Exposure",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Practice Wall",,,Complete,,,
148,,,Yes,2018-10-03,Route,2013-03-21,"Crescent Moon",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Practice Wall",,,Complete,,,
149,,,Yes,2018-10-03,Route,2013-03-22,"Workin' for the Weekend",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
150,,,Yes,2018-10-03,Route,2013-03-22,"The Bee's Business",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
151,,,Yes,2018-10-03,Route,2013-03-22,"Little Viper",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
152,,,Yes,2018-10-03,Route,2013-03-22,"Don't Take Yer Guns to Town",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
153,,,Yes,2018-10-03,Route,2013-03-22,"Trundling Kentucky",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
154,,,Yes,2018-10-03,Route,2013-03-22,"Return of Manimal",5.10d,5.10d,,,,,12,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
155,,,Yes,2018-10-03,Route,2013-03-22,A-Beano,5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
156,,,Yes,2018-10-03,Route,2013-03-22,"Hey There, Fancy Pants",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
157,,,Yes,2018-10-03,Route,2013-03-22,"The Offering",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
158,,,Yes,2018-10-03,Route,2013-03-22,"Jungle Trundler",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
159,,,Yes,2018-10-03,Route,2013-03-22,"Stay Off the Radio Jeff!",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
160,,,Yes,2018-10-03,Route,2013-03-22,"Flutterby Blue",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
161,,,Yes,2018-10-03,Route,2013-03-22,"Sweet Jane",5.8,5.8,,,,,7,Sport,Onsight,,,,,,Soft,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
162,,,Yes,2018-10-03,Route,2013-03-22,"Methane Rising",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Bruise Brothers Wall",,,Complete,,,
163,,,Yes,2018-10-03,Route,2013-03-26,"All the Pretty Horses",5.11c,5.11c,,,,,15,Sport,"Red Point",,,"Second Go",,,,"Red River Gorge","Muir Valley, Bibliothek",,,Complete,,,
164,,,Yes,2018-10-03,Route,2013-03-26,"Gettin' Lucky in Kentucky",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Tectonic Wall",,,Complete,,,
165,,,Yes,2018-10-03,Route,2013-03-26,"Fifth Bolt Faith",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Tectonic Wall",,,Complete,,,
166,,,Yes,2018-10-03,Route,2013-03-26,"Tall Cool One",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Tectonic Wall",,,Complete,,,
167,,,Yes,2018-10-03,Route,2013-03-26,"Plate Tectonics",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Tectonic Wall",,,Complete,,,
168,,,Yes,2018-10-03,Route,2013-03-26,"A Portrait of the Artist as a Young Man",5.11b,5.11b,,,,,14,Sport,"Hang/Attempted - No Send",,,,,,,"Red River Gorge","Muir Valley, Bibliothek",,,Complete,,,
169,,,Yes,2018-10-03,Route,2013-03-26,"No Country for Old Men",5.11c,5.11c,,,,,15,Sport,"Hang/Attempted - No Send",,,,,,,"Red River Gorge","Muir Valley, Bibliothek",,,Complete,,,
170,,,Yes,2018-10-03,Route,2013-03-27,"Kentucky Pinstripe",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Red River Gorge","Lady Slipper, Global Village",,,Complete,,,
171,,,Yes,2018-10-03,Route,2013-03-27,"No Place Like Home",5.11c,5.11c,,,,,15,Sport,"Red Point",,,"Second Go",,,,"Red River Gorge","Lady Slipper, Emerald City",,,Complete,,,
172,,,Yes,2018-10-03,Route,2013-03-28,"Hardcore Jollies",5.12a,5.12a,,,,,17,Sport,Onsight,,,,,,,"Red River Gorge","Funk Rock City",,,Complete,,,
173,,,Yes,2018-10-03,Route,2013-03-28,"Go Easy Billy Clyde!",5.12a,5.12a,,,,,17,Sport,"Hang/Attempted - No Send",,,,,,,"Red River Gorge","Funk Rock City",,,Complete,,,
174,,,Yes,2018-10-03,Route,2013-03-28,"Red Hot Chili Pepper",5.10d,5.10d,,,,,12,Sport,"Red Point",,,"Second Go",,,,"Red River Gorge","Funk Rock City",,,Complete,,,
175,,,Yes,2018-10-03,Route,2013-03-28,"Prime Directive",5.11b,5.11b,,,,,14,Sport,"Red Point",,,"Second Go",,,,"Red River Gorge","Funk Rock City",,,Complete,,,
176,,,Yes,2018-10-03,Route,2013-03-28,"There Goes the Neighborhood",5.11c,5.11c,,,,,15,Sport,"Red Point",,,"Second Go",,,,"Red River Gorge","Funk Rock City",,,Complete,,,
177,,,Yes,2018-10-03,Route,2013-03-29,Murano,5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
178,,,Yes,2018-10-03,Route,2013-03-29,"A Brief History of Climb",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
179,,,Yes,2018-10-03,Route,2013-03-29,"27 Years of Climbing",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
180,,,Yes,2018-10-03,Route,2013-03-29,"Johnny B. Good",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
181,,,Yes,2018-10-03,Route,2013-03-29,"The Preacher's Daughter",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
182,,,Yes,2018-10-03,Route,2013-03-29,"Happy Trails",5.10d,5.10d,,,,,12,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
183,,,Yes,2018-10-03,Route,2013-03-29,"The King Lives On...",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
184,,,Yes,2018-10-03,Route,2013-03-29,"Break the Scene",5.12a,5.12a,,,,,17,Sport,"Hang/Attempted - No Send",,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
185,,,Yes,2018-10-03,Route,2013-03-29,"Different Strokes",5.11c,5.11c,,,,,15,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Gallery",,,Complete,,,
186,,,Yes,2018-10-03,Route,2013-03-30,"Miranda Rayne",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Shire",,,Complete,,,
187,,,Yes,2018-10-03,Route,2013-03-30,"The G-Man",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Shire",,,Complete,,,
188,,,Yes,2018-10-03,Route,2013-03-30,Audie,5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Red River Gorge","PMRP, The Shire",,,Complete,,,
189,,,Yes,2018-10-03,Route,2013-03-30,"Amarillo Sunset",5.11b,5.11b,,,,,14,Sport,Onsight,,,,,,"Hard for 11b…","Red River Gorge","PMRP, North 40",,,Complete,,,
190,,,Yes,2018-10-03,Route,2013-04-09,"Bursting Out",5.12b,5.12b,,,,,18,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Battle Axe Tower",,,Complete,,,
191,,,Yes,2018-10-03,Route,2013-04-12,"Shorty the Pimp",5.13a,5.13a,,,,,21,Sport,"Red Point",,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
192,,,Yes,2018-10-03,Route,2013-04-17,"Cowboys and Crossdressers",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","The Ranch",,,Complete,,,
193,,,Yes,2018-10-03,Route,2013-04-24,"Emperor of the North",5.13a,5.13a,,,,,21,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Battle Axe Tower",,,Complete,,,
194,,,Yes,2018-10-03,Route,2013-04-25,"Elders of the Tribe",5.12c,5.12c,,,,,19,Sport,"Red Point",,,,,,,"Jackson Falls","Hidden Peaks",,,Complete,,,
195,,,Yes,2018-10-03,Route,2013-05-01,"Unfinished Symphony",5.10a,5.10a,,,,,9,Trad,Flash,,,,,,,"Cedar Grove Bluff","Playground Wall",,,Complete,,,
196,,,Yes,2018-10-03,Route,2013-05-12,"The Fall of Legends",5.11c,5.11c,,,,,15,Sport,Flash,,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
197,,,Yes,2018-10-03,Route,2013-05-12,"Legends of the Falls",5.13a,5.13a,,,,,21,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
198,,,Yes,2018-10-03,Route,2013-05-13,"Bursting Out",5.12b,5.12b,,,,,18,Sport,"Red Point",,,,,,,"Jackson Falls","Battle Axe Tower",,,Complete,,,
199,,,Yes,2018-10-03,Route,2013-05-24,"Fashionably Late",5.11a,5.11a,,,,,13,Sport,Flash,,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
200,,,Yes,2018-10-03,Route,2013-05-24,"Team Honda",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
201,,,Yes,2018-10-03,Route,2013-05-24,"Congo Spray",5.12b,5.12b,,,,,18,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
202,,,Yes,2018-10-03,Route,2013-05-27,"Darwin's Theory",5.12b,5.12b,,,,,18,Sport,"Red Point",,,,,,,"Jackson Falls","The Ranch",,,Complete,,,
203,,,Yes,2018-10-03,Route,2013-06-03,"Assembly Line",5.12b,5.12b,,,,,18,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
204,,,Yes,2018-10-03,Route,2013-06-03,"Congo Spray",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
205,,,Yes,2018-10-03,Route,2013-06-03,Zambeasy,5.12b,5.12b,,,,,18,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
206,,,Yes,2018-10-03,Route,2013-06-07,Zambezi,5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
207,,,Yes,2018-10-03,Route,2013-06-16,"The Feathered Serpent",5.12c,5.12c,,,,,19,Sport,"Red Point",,,,,,,"Jackson Falls","Snakes Roof",,,Complete,,,
208,,,Yes,2018-10-03,Route,2013-06-29,"Settled Controversy",5.9,5.9,,,,,8,Trad,Flash,,,,,"Pink Point",,"Jackson Falls","Wizard Wall",,,Complete,,,
209,,,Yes,2018-10-03,Route,2013-06-29,"Suspended Animation",5.9,5.9,,,,,8,Trad,Flash,,,,,"Pink Point",,"Jackson Falls","Wizard Wall",,,Complete,,,
210,,,Yes,2018-10-03,Route,2013-06-29,"Shock Therapy",5.12c,5.12c,,,,,19,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
211,,,Yes,2018-10-03,Route,2013-06-29,Deception,5.9,5.9,,,,,8,Trad,Flash,,,,,"Pink Point",,"Jackson Falls","Wizard Wall",,,Complete,,,
212,,,Yes,2018-10-03,Route,2013-06-29,"Ladies' Choice",5.10a,5.10a,,,,,9,Trad,"Top Rope",,,,Followed,,,"Jackson Falls","The Doors",,,Complete,,,
213,,,Yes,2018-10-03,Route,2013-07-13,"Horseshoes and Hand Grenades",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","Far East",,,Complete,,,
214,,,Yes,2018-10-03,Route,2013-07-13,"Caesar's Tossed Salad",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","Roman Wall",,,Complete,,,
215,,,Yes,2018-10-03,Route,2013-07-13,"First Time Up",5.8,5.8,,,,,7,Trad,Flash,,,,,,,"Horseshoe Canyon Ranch","Far East",,,Complete,,,
216,,,Yes,2018-10-03,Route,2013-07-13,"Supersoul Sureshot",5.12c,5.12c,,,,,19,Sport,"Hang/Attempted - No Send",,,,,,,"Horseshoe Canyon Ranch","Far East",,,Complete,,,
217,,,Yes,2018-10-03,Route,2013-07-13,"Sentinel Prime",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","Roman Wall",,,Complete,,,
218,,,Yes,2018-10-03,Route,2013-07-13,Spartacus,5.11b,5.11b,,,,,14,Sport,Onsight,,,,,,"Recorded as 11b/c in Mountain Project","Horseshoe Canyon Ranch","Roman Wall",,,Complete,,,
219,,,Yes,2018-10-03,Route,2013-07-14,"Hackberry Crack",5.9,5.9,,,,,8,Trad,Flash,,,,,,,"Horseshoe Canyon Ranch","The West Side",,,Complete,,,
220,,,Yes,2018-10-03,Route,2013-07-14,"Deft Jam",5.9,5.9,,,,,8,Trad,"Hang/Attempted - No Send",,,,,,,"Horseshoe Canyon Ranch","The West Side",,,Complete,,,
221,,,Yes,2018-10-03,Route,2013-07-26,"Squirrel House Crack",5.9,5.9,,,,,8,Trad,"Red Point",,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
222,,,Yes,2018-10-03,Route,2013-07-26,"Hunter's Arrow",5.10a,5.10a,,,,,9,Trad,Onsight,,,,,,,"Jackson Falls","Royal Arches",,,Complete,,,
223,,,Yes,2018-10-03,Route,2013-07-28,"Piss Ant",5.11b,5.11b,,,,,14,Sport,Onsight,,,,,,,"Jackson Falls","Mr. Jimmy",,,Complete,,,
224,,,Yes,2018-10-03,Route,2013-07-28,"Which Side are You On?",5.10c,5.10c,,,,,11,Sport,"Red Point",,,,,,,"Jackson Falls","Mr. Jimmy",,,Complete,,,
225,,,Yes,2018-10-03,Route,2013-07-28,Unknown,5.9,5.9,,,,,8,Sport,Onsight,,,,,,"Chimney corner near Cougar Love","Jackson Falls","Beaver Wall Right",,,Complete,,,
226,,,Yes,2018-10-03,Route,2013-07-28,Unknown,5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,"Route to the left of chimney","Jackson Falls","Beaver Wall Right",,,Complete,,,
227,,,Yes,2018-10-03,Route,2013-07-28,Unknown,5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,"2nd route to the left of chimney","Jackson Falls","Beaver Wall Right",,,Complete,,,
228,,,Yes,2018-10-03,Route,2013-08-25,"A Fine New Edition",5.8,5.8,,,,,7,Sport,Onsight,,,,,, ,"Kings Bluff","Lonesome Wall",,,Complete,,,
229,,,Yes,2018-10-03,Route,2013-08-25,Scarface,5.10d,5.10d,,,,,12,Sport,"Red Point",,,,,, ,"Kings Bluff","The Alley",,,Complete,,,
230,,,Yes,2018-10-03,Route,2013-08-25,"Ritz Bits",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Kings Bluff","Lonesome Wall",,,Complete,,,
231,,,Yes,2018-10-03,Route,2013-08-25,"Baby Kangaroo",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Kings Bluff","Lonesome Wall",,,Complete,,,
232,,,Yes,2018-10-03,Route,2013-08-25,"Baby, I'm Ten Inches Long",5.11d,5.11d,,,,,16,Sport,"Hang/Attempted - No Send",,,,,,,"Kings Bluff","Lonesome Wall",,,Complete,,,
233,,,Yes,2018-10-03,Route,2013-08-25,"Cricket Serenade",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Kings Bluff","The Alley",,,Complete,,,
234,,,Yes,2018-10-03,Route,2013-09-08,Slabalicious,5.11c,5.11c,,,,,15,Sport,"Red Point",,,"Second Go",,,,"Foster Falls","Left Bunker",,,Complete,,,
235,,,Yes,2018-10-03,Route,2013-09-08,Eclipse,5.12d,5.12d,,,,,20,Sport,"Hang/Attempted - No Send",,,,,,,"Foster Falls","Left Bunker",,,Complete,,,
236,,,Yes,2018-10-03,Route,2013-09-08,"Ankle's Away",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Foster Falls","The Dihedrals",,,Complete,,,
237,,,Yes,2018-10-03,Route,2013-09-08,"Premarital Drilling",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Foster Falls","Left Bunker",,,Complete,,,
238,,,Yes,2018-10-03,Route,2013-09-15,"Gravity Boots",5.7,5.7,,,,,6,Sport,Onsight,,,,,, ,"Foster Falls","Rocket Slab",,,Complete,,,
239,,,Yes,2018-10-03,Route,2013-09-15,"After Burner",5.5,5.5,,,,,4,Sport,Onsight,,,,,, ,"Foster Falls","Rocket Slab",,,Complete,,,
240,,,Yes,2018-10-03,Route,2013-09-15,"Grey Matter",5.9,5.9,,,,,8,Sport,Onsight,,,,,, ,"Foster Falls","The Sanford Wall",,,Complete,,,
241,,,Yes,2018-10-03,Route,2013-09-15,"Ethnic Cleansing",5.12b,5.12b,,,,,18,Sport,"Hang/Attempted - No Send",,,,,,,"Foster Falls","Right Bunker",,,Complete,,,
242,,,Yes,2018-10-03,Route,2013-09-15,"Fish-Eyed Fool",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,, ,"Foster Falls","The Sanford Wall",,,Complete,,,
243,,,Yes,2018-10-03,Route,2013-09-16,"Prelude to Harvest",5.12a,5.12a,,,,,17,Sport,"Red Point",,,"Second Go",,,,"Kings Bluff","Lonesome Wall",,,Complete,,,
244,,,Yes,2018-10-03,Route,2013-09-16,"Too Good to be True",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Foster Falls","The Quiet Zone",,,Complete,,,
245,,,Yes,2018-10-03,Route,2013-09-16,"Stone Dagger",5.9,5.9,,,,,8,Sport,Onsight,,,,,, ,"Kings Bluff","The Quiet Zone",,,Complete,,,
246,,,Yes,2018-10-03,Route,2013-09-16,"Big Guns of Navarone",5.11b,5.11b,,,,,14,Sport,Onsight,,,,,,"Recorded as 11b/c in Mountain Project","Kings Bluff","The Beach",,,Complete,,,
247,,,Yes,2018-10-03,Route,2013-09-16,"Mustang Sally",5.11a,5.11a,,,,,13,Sport,"Hang/Attempted - No Send",,,,,,,"Kings Bluff","Lonesome Wall",,,Complete,,,
248,,,Yes,2018-10-03,Route,2013-09-22,"Everybody Needs Friends",5.12a,5.12a,,,,,17,Sport,"Red Point",,Repeat,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
249,,,Yes,2018-10-03,Route,2013-09-22,"Frizzle Fry",5.12b,5.12b,,,,,18,Sport,"Red Point",,Repeat,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
250,,,Yes,2018-10-03,Route,2013-09-22,"Hidden Treasure",5.12a,5.12a,,,,,17,Sport,"Red Point",,Repeat,,,,,"Jackson Falls","Lovely Tower",,,Complete,,,
251,,,Yes,2018-10-03,Route,2013-09-23,"Barbarians at the Gate",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Railroad Rock",,,Complete,,,
252,,,Yes,2018-10-03,Route,2013-09-23,"Blue Velvet",5.11d,5.11d,,,,,16,Sport,"Red Point",,,,,,,"Jackson Falls","Railroad Rock",,,Complete,,,
253,,,Yes,2018-10-03,Route,2013-10-04,"Ethnic Cleansing",5.12b,5.12b,,,,,18,Sport,"Red Point",,,,,,,"Foster Falls","Right Bunker",,,Complete,,,
254,,,Yes,2018-10-03,Route,2013-10-04,"Something's Always Wrong",5.10d,5.10d,,,,,12,Sport,Onsight,,,,,, ,"Foster Falls","Right Bunker",,,Complete,,,
255,,,Yes,2018-10-03,Route,2013-10-18,"Cro-Magnon Warrior",5.12b,5.12b,,,,,18,Sport,"Red Point",,,"Second Go",,,,"Jackson Falls","The Doors",,,Complete,,,
256,,,Yes,2018-10-03,Route,2013-10-18,"Through the Smoke",5.9,5.9,,,,,8,Sport,Flash,,,,,, ,"Jackson Falls","Spleef Peak",,,Complete,,,
257,,,Yes,2018-10-03,Route,2013-10-18,"Mud Pie",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,, ,"Jackson Falls","North Falls",,,Complete,,,
258,,,Yes,2018-10-03,Route,2013-10-18,"Pete's Lead",5.7,5.7,,,,,6,Trad,Onsight,,,,,, ,"Jackson Falls","Royal Arches",,,Complete,,,
259,,,Yes,2018-10-03,Route,2013-10-18,"Lefty Crack",5.7,5.7,,,,,6,Trad,Onsight,,,,,, ,"Jackson Falls","Lovely Tower",,,Complete,,,
260,,,Yes,2018-10-03,Route,2013-10-18,"Temporary Escape",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,, ,"Jackson Falls","North Falls",,,Complete,,,
261,,,Yes,2018-10-03,Route,2013-10-18,"Temporary Escape",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,, ,"Jackson Falls","North Falls",,,Complete,,,
262,,,Yes,2018-10-03,Route,2013-10-18,Puff,5.11a,5.11a,,,,,13,Sport,Onsight,,,,,, ,"Jackson Falls","North Falls",,,Complete,,,
263,,,Yes,2018-10-03,Route,2013-10-18,"The Reckoning",5.12a,5.12a,,,,,17,Sport,"Red Point",,,"Second Go",,,,"Jackson Falls","Battle Axe Tower",,,Complete,,,
264,,,Yes,2018-10-03,Route,2013-10-18,"Bug Meat",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,, ,"Jackson Falls","North Falls",,,Complete,,,
265,,,Yes,2018-10-03,Route,2013-10-18,"Bug Meat",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,, ,"Jackson Falls","North Falls",,,Complete,,,
266,,,Yes,2018-10-03,Route,2013-10-18,"Buckets of Jam",5.8,5.8,,,,,7,Trad,Flash,,,,,, ,"Jackson Falls","Applejack Wall",,,Complete,,,
267,,,Yes,2018-10-03,Route,2013-10-18,"Working Man's Blues",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,, ,"Jackson Falls","North Falls",,,Complete,,,
268,,,Yes,2018-10-03,Route,2013-10-20,Violator,5.11a,5.11a,,,,,13,Sport,Onsight,,,,,, ,Obed,"South Clear",,,Complete,,,
269,,,Yes,2018-10-03,Route,2013-10-20,Prophet,5.11b,5.11b,,,,,14,Sport,"Hang/Attempted - No Send",,,,,,,Obed,"South Clear",,,Complete,,,
270,,,Yes,2018-10-03,Route,2013-10-20,"Double Feature",5.10c,5.10c,,,,,11,Sport,Flash,,,,,, ,Obed,"South Clear",,,Complete,,,
271,,,Yes,2018-10-03,Route,2013-10-20,Spawn,5.10b,5.10b,,,,,10,Sport,Onsight,,,,,, ,Obed,"South Clear",,,Complete,,,
272,,,Yes,2018-10-03,Route,2013-10-20,Deathblow,5.11b,5.11b,,,,,14,Sport,Onsight,,,,,, ,Obed,"South Clear",,,Complete,,,
273,,,Yes,2018-10-03,Route,2013-10-20,"Pet Sematary",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,, ,Obed,"South Clear",,,Complete,,,
274,,,Yes,2018-10-03,Route,2013-10-20,Paleface,5.11a,5.11a,,,,,13,Sport,Onsight,,,,,, ,Obed,"South Clear",,,Complete,,,
275,,,Yes,2018-10-03,Route,2013-10-20,Undertow,5.12a,5.12a,,,,,17,Sport,"Red Point",,,"Second Go",,,,Obed,"South Clear",,,Complete,,,
276,,,Yes,2018-10-03,Route,2013-10-20,"Brothers in Arms",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,, ,Obed,"South Clear",,,Complete,,,
277,,,Yes,2018-10-03,Route,2013-10-22,"Broken Arrow",5.10a,5.10a,,,,,9,Trad,Onsight,,,,,,,"Sunset Park","Sunset North",,,Complete,,,
278,,,Yes,2018-10-03,Route,2013-10-22,S'more,5.8,5.8,,,,,7,Trad,"Top Rope",,,,Followed,,,"Sunset Park","Sunset North",,,Complete,,,
279,,,Yes,2018-10-03,Route,2013-10-22,"Water in Motion",5.12a,5.12a,,,,,17,Mixed,"Red Point",,,"Second Go",,,,"Sunset Park","Sunset North",,,Complete,,,
280,,,Yes,2018-10-03,Route,2013-10-22,Flagstone,5.11a,5.11a,,,,,13,Mixed,Onsight,,,,,,,"Sunset Park","Sunset North",,,Complete,,,
281,,,Yes,2018-10-03,Route,2013-10-22,"Jefferson Airplane",5.10a,5.10a,,,,,9,Trad,Onsight,,,,,,,"Sunset Park","Sunset North",,,Complete,,,
282,,,Yes,2018-10-03,Route,2013-10-22,"RJ Gold",5.9,5.9,,,,,8,Trad,"Top Rope",,,,Followed,,,"Sunset Park","Sunset North",,,Complete,,,
283,,,Yes,2018-10-03,Route,2013-10-22,"Bill's Route",5.8,5.8,,,,,7,Trad,"Top Rope",,,,Followed,,,"Sunset Park","Sunset North",,,Complete,,,
284,,,Yes,2018-10-03,Route,2013-10-22,"Sunset Boulevard",5.10c,5.10c,,,,,11,Trad,"Top Rope",,,,Followed,,,"Sunset Park","Sunset North",,,Complete,,,
285,,,Yes,2018-10-03,Route,2013-10-22,"Rusty's Crack",5.10a,5.10a,,,,,9,Trad,Onsight,,,,,,,"Sunset Park","Sunset North",,,Complete,,,
286,,,Yes,2018-10-03,Route,2013-10-22,"Scream Wall Direct",5.10b,5.10b,,,,,10,Trad,Onsight,,,,,,,"Sunset Park","Sunset North",,,Complete,,,
287,,,Yes,2018-10-03,Route,2013-10-29,"Umbrella Girl",5.12a,5.12a,,,,,17,Sport,"Red Point",,Repeat,,,,,"Jackson Falls","Royal Arches",,,Complete,,,
288,,,Yes,2018-10-03,Route,2013-10-29,"Everybody Needs Friends",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
289,,,Yes,2018-10-03,Route,2013-11-08,"Ground Zero",5.12c,5.12c,,,,,19,Sport,"Red Point",,,,,,,"Kings Bluff","Lonesome Wall",,,Complete,,,
